file,error_type
6753,error
6785,ambiguity
6787,error
6866,ambiguity
6908,error
6911,label
6915,error
6965,error
7028,label
7079,error
7102,error
7117,error
7118,ambiguity
7137,error
7138,label
7144,label
7155,illegible
7162,error
7165,error
7166,error
7216,label
7218,error
7219,illegible
7220,illegible
7221,error
7223,label
7229,error
7231,error
7244,error
7245,error
7248,error
7250,error
7251,error
7267,label
7323,label
7324,label
7327,label
7362,error
7389,error
7393,error
7396,error
7408,ambiguity
7417,error
7496,ambiguity
7498,error
7501,ambiguity
7571,ambiguity
7575,error
7586,label
7628,label
7630,error
7678,error
7683,label
7701,error
7712,label
7733,error
7752,label
7773,ambiguity
7800,error
7819,label
7858,illegible
7950,error
7959,error
7960,error
8100,ambiguity
8230,error
9034,ambiguity
9059,label
9098,label
9108,label
9114,label
9115,label
9146,label
9156,label
9173,label
9178,error
9200,label
9202,label
9207,label
9219,label
9243,label
9256,error
9298,label
9334,label
9337,error
9379,ambiguity
9403,error
9437,error
9440,error
9453,error
9485,error
9491,error
9527,ambiguity
9635,label
9644,label
9645,error
9757,error
9781,error
9798,error
9920,label
9995,error
10003,label
10106,label
10325,error
10327,error
10329,error
10331,error
10401,label
10429,error
10435,error
10485,label
10486,label
10487,label
10495,error
10501,label
10564,label
10663,error
10668,error
10707,ambiguity
10743,error
10744,illegible
10748,error
15006,label
15012,ambiguity
15025,error
15027,error
15049,error
15077,label
15119,illegible
15120,ambiguity
15128,label
15149,error
15150,error
15173,error
15177,label
15188,label
15276,label
15312,error
15435,error
15453,error
15497,error
15543,label
15549,label
15568,ambiguity
15569,error
15570,error
15587,error
15597,label
15615,error
15625,ambiguity
15627,label
15671,error
15672,label
15709,label
15719,error
15745,error
15746,label
15757,label
15758,error
15772,label
15816,error
15911,error
15913,error
15920,error
15923,label
15943,ambiguity
15946,ambiguity
15947,ambiguity
15948,error
15949,error
15953,error
15957,error
15973,error
16024,error
16081,label
16106,illegible
16109,illegible
16115,ambiguity
16191,ambiguity
16208,error
16239,ambiguity
16240,label
16263,label
16270,label
16271,error
16342,label
16360,error
16363,label
16382,label
16410,error
16412,error
16413,error
16431,error
16473,illegible
16493,error
16496,error
16520,ambiguity
16530,label
16555,label
16576,ambiguity
16585,label
16606,error
16623,error
16647,error
16673,error
16688,label
16730,error
16734,error
16746,ambiguity
16755,error
16756,error
16757,illegible
16797,error
16824,error
16918,label
16923,label
16932,label
16933,label
16998,label
17013,error
17017,label
17053,label
17066,illegible
17072,error
17117,label
17118,error
17188,label
17205,ambiguity
17206,error
17220,label
17258,label
17261,error
17284,ambiguity
17285,ambiguity
17322,error
17329,error
17336,error
17392,label
17446,label
17471,label
17477,label
17479,label
17480,label
17487,label
17533,ambiguity
17536,illegible
17539,label
17566,error
17579,error
17588,error
17593,error
17638,error
17653,error
17654,error
17664,error
17668,error
17688,error
17698,error
17710,label
17711,error
17734,error
17741,label
17743,label
17762,label
17797,error
17865,illegible
17875,label
17941,error
18015,error
18227,label
18293,error
18368,ambiguity
18378,error
18382,label
18417,error
18536,error
18537,error
18640,error
18648,illegible
18670,error
18708,ambiguity
18826,illegible
18831,label
18859,error
18927,error
18937,label
18956,error
19020,error
19063,error
19100,label
19109,label
19159,error
19281,label
19411,error
19416,error
19477,error
19504,error
19505,error
19534,error
19563,error
19646,error
19650,error
19666,ambiguity
